WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
97274,aza,Tien Pa,AZHA,Tien Pa,
355,azb,South Azeri,"AZERBAIJANI, IRAN",South Azeri,
8338,azg,San Pedro Amuzgo,"AMUZGO, OAXACA",San Pedro Amuzgo,
689,azj,North Azeri,"AZERBAIJANI, NORTH",North Azeri,
139611,azo,Mbwewi,AWING,Mbewi,Mbwewi
8336,azz,Zacapoaxtla,"NAHUATL, SIERRA DE PUEBLA",Nahuat,Zacapoaxtla
18450,bak,Bashqurt,BASHKIR,Bashqurt,
2075,bam,Bambara,BAMBARA,Bambara,
145699,ban,Bali Formal,BALI,Bali Formal,
24043,bap,West Bantawa,"RAI, BANTAWA",West Bantawa,
2923,bas,Wider Basaa,BASAA,,
2912,bax,Pamem,BAMUN,Pamem,
1294,bba,Baatonum,BARIBA,Baatonum,
17818,bbc,Toba Batak,BATAK TOBA,Toba Batak,
2908,bbj,Ghomala,GHOMALA,,
139635,bbk,Banki,BABANKI,Banki,
139643,bbu,Kulung,KULUNG,Kulung,
3948,bca,Bai,BAI,Bai,
6679,bcc,South Balochi,"BALOCHI, SOUTHERN",South Balochi,
97185,bcf,Wakau,BAMU,Wakau,
10715,bch,Bariai,BARIAI,Bariai,
16107,bci,Baule,BAULE,Baule,
22100,bcl,Legaspi,BICOLANO,Legaspi,
184541,bcp,Baali,DIBALI,Baali,
19518,bcq,Bench,BENCH,Bench,
139661,bcu,Bing,AWAD BING,,
139663,bcw,Baza,BANA,,
53330,bcy,Bacama,BACAMA-BWATIYE,Bacama,
53409,bda,Bayot,DJOLA-BAYOTE,Bayot,
10221,bde,Bade Kado,BADE,Bade Kado,
97237,bdh,Baaka,BAKA,Baaka,
139538,bdi,North Barun,BURUN,,
17655,bdl,Poso,"BAJAU, INDONESIAN",Poso,
139543,bdp,Bende,BENDE-TONGWE,Bende,
19391,bdq,Bahnar,BAHNAR,Bahnar,
139544,bds,Burunge,BURUNGE,Burunge,
53435,bdt,Bokodo,BHOGOTO,Central Gbaya,Bokodo
97247,bdu,East Oroko,OROKO,,
184499,bdv,Jharia Odia,BADO PARJA,Jharia Odia,
184917,bej,Bedauye,"BEJA, BIDHAAWYEET",Bedauye,
1259,bel,Belarussian,BELORUSSIAN,Belarussian,
14278,bem,Bemba,BEMBA,Bemba,
139081,ben,Central Bangla,BENGALI (INDIAN),Central Bangla,
139082,ben,Bengali,BANGLA MUSLIM,Bengali,
21577,beo,Bedamini,BEDAMUNI,,
97214,bep,Besoa,BEHOA,Besoa,
4276,beq,Bembe,BEEMBE,Bembe,
16106,bet,West Bete,"BETE, GUIBEROUA",,
16652,bew,Bahasa Betawi,BETAWI,Bahasa Betawi,
13745,bex,Modo,JUR MODO,Modo,
14277,bez,Bena,BENA,Bena,
13586,bfa,Bari,BARI,Bari,
184486,bfb,Pawari,BARELI PAWRI,Pawari,
2819,bfd,Beba,BAFUT,Beba,
139154,bfo,North Birifor,BIRIFOR,North Birifor,
5613,bfq,Badaga,BADAGA,Badaga,
5612,bfr,Wider Kanarese,BAZIGAR,,
25916,bfs,Dali,"BAI, SOUTHERN",Dali,
6654,bft,Balti,BALTI,Balti,
6648,bfy,Bagheli,BAGHELI,Bagheli,
184487,bfz,Baghati,MAHASU PAHARI,Baghati,
5709,bgc,Haryanvi,HARYANVI,Haryanvi,
25919,bgd,Bareli,"BARELI, RATHWI",Bareli,
5703,bge,Baori,BAURIA,Baori,
353,bgn,West Balochi,"BALOCHI, WESTERN",West Balochi,
5700,bgp,East Balochi,"BALOCHI, EASTERN",East Balochi,
5699,bgq,Bagri,BAGRI,Bagri,
12839,bgs,Tagabawa,"MANOBO, TAGABAWA",Tagabawa,
5697,bgw,Bhatri Odia,BHATRI,Bhatri Odia,
17365,bgz,Wider Bangai,BANGGAI,,
5696,bha,Sindhi Bharat,BHARIA,Sindhi,Sindhi Bharat
5695,bhb,Central Bhil,BHILI,,
5671,bhd,Bhadrawahi,BHADRAWAHI,Bhadrawahi,
6934,bhh,Bukharik,BUKHARAN,Judeo Farsi,Bukharik
139684,bhi,Bhilala,BHILALI,Bhilala,
12286,bhl,Bi,BIMIN,Bi,
5667,bho,Bhojpuri,BHOJPURI,Bhojpuri,
19537,bhp,Bima,BIMA,Bima,
157752,bhq,South Wakatobi,WAKATOBI,,
7735,bhr,Bara Mikaty,BARA,Bara Mikaty,
6642,bht,Bhateali,BHATTIYALI,Bhateali,
